Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,stop open air bathing,use clean dry towels and clothing,apply antifungal powder/cream,consult dermatologist if symptoms persist
Allergy,apply calamine lotion,avoid known allergens and dusty areas,use prescribed antihistamines,keep windows closed during high pollen counts
GERD,avoid fatty and spicy foods,do not lie down immediately after eating,"eat smaller, frequent meals",elevate the head of your bed during sleep
Chronic cholestasis,take cold baths to relieve itching,avoid alcohol and high fat foods,consult hepatologist promptly,eat anti-inflammatory and fiber-rich meals
Drug Reaction,stop taking the suspected medication immediately,consult prescribing physician or emergency care,stay well hydrated,follow up with allergy testing
Peptic ulcer diseae,avoid spicy and acidic foods,consume probiotic foods and yogurt,avoid NSAID pain relievers,take prescribed acid blockers as advised
AIDS,avoid infected body fluids,adhere strictly to prescribed antiretroviral therapy,follow a nutritious high-protein diet,maintain strict personal hygiene to prevent infections
Diabetes ,monitor blood sugar levels daily,exercise regularly for at least 30 minutes,maintain a low glycemic balanced diet,take prescribed insulin or oral hypoglycemics consistently
Gastroenteritis,drink oral rehydration solutions (ORS),"eat bland foods like bananas, rice, and toast","avoid dairy, caffeine, and greasy meals",rest adequately and wash hands frequently
Bronchial Asthma,use prescribed rescue and maintenance inhalers,"avoid cold air, dust, and smoke triggers",keep an asthma action plan ready,practice deep breathing exercises
Hypertension ,reduce dietary sodium and salt intake,exercise and walk briskly for 30 minutes daily,manage stress through meditation or relaxation,take antihypertensive medications as prescribed
Migraine,rest in a quiet and dark room,apply cold compresses to forehead or temples,stay well hydrated and maintain regular sleep schedules,avoid known food triggers like aged cheese or caffeine
Cervical spondylosis,use an ergonomic cervical pillow,perform gentle neck stretching exercises,avoid prolonged downward head tilting on screens,consult a physiotherapist for posture alignment
Paralysis (brain hemorrhage),seek immediate emergency neurological evaluation,begin physical and occupational rehabilitation,strictly control blood pressure levels,ensure safe swallowing and fall prevention
Jaundice,"consume a light, easily digestible carbohydrate diet",drink plenty of boiled clean water and fresh fluids,"avoid oily, fried, and heavy foods completely",get regular liver function tests (LFT)
Malaria,complete the full course of prescribed antimalarials,use mosquito nets and insect repellent,stay hydrated with electrolytes and soups,avoid water stagnation around living areas
Chicken pox,apply soothing calamine lotion to blisters,do not scratch pox lesions to prevent secondary infection,take lukewarm oatmeal baths,isolate to avoid spreading virus to susceptible individuals
Dengue,drink plenty of fluids and papaya leaf extract/ORS,avoid aspirin and NSAID painkillers (use paracetamol only),monitor platelet counts closely every 24 hours,seek hospitalization if bleeding or severe abdominal pain occurs
Typhoid,"eat soft, bland, and easily digestible foods",drink only boiled and purified water,complete the entire course of prescribed antibiotics,wash hands thoroughly before eating
hepatitis A,consult doctor for liver care protocol,"consume clean, hygienic boiled water and home-cooked food",avoid alcohol and hepatotoxic substances,rest adequately during acute phase
Hepatitis B,consult a gastroenterologist/hepatologist,ensure family members receive Hepatitis B vaccination,"avoid sharing razors, toothbrushes, or needles",maintain regular viral load monitoring
Hepatitis C,consult hepatologist for direct-acting antivirals,avoid alcohol completely,maintain a healthy liver-friendly diet,get regular hepatic ultrasounds and screenings
Hepatitis D,follow hepatology specialist recommendations,treat underlying Hepatitis B infection diligently,avoid hepatotoxic medications,maintain high nutrition and hydration
Hepatitis E,drink strictly boiled or filtered water,rest adequately and avoid strenuous physical exertion,maintain strict food and hand hygiene,monitor liver enzymes under medical supervision
Alcoholic hepatitis,stop alcohol consumption completely and permanently,"consume high-protein, vitamin-rich nutritious meals",consult a hepatologist for liver regeneration care,participate in supportive rehabilitation programs
Tuberculosis,cover mouth and nose with a mask when coughing,take full DOTS antibiotic regimen without missing any dose,"consume a high-calorie, protein-rich diet",ensure proper ventilation in living spaces
Common Cold,"drink warm fluids, herbal teas, and soups",take steam inhalations with eucalyptus oil,get sufficient sleep and physical rest,use saline nasal drops for nasal congestion
Pneumonia,seek prompt medical consultation and chest X-ray,complete prescribed antibiotic or antiviral therapy,rest in an upright position to ease breathing,stay well hydrated to help clear secretions
Dimorphic hemmorhoids(piles),increase dietary fiber intake with fruits and vegetables,drink at least 2.5 to 3 liters of water daily,take warm sitz baths for 15 minutes twice daily,avoid straining during bowel movements
