Disease,Description
Fungal infection,"A fungal infection is a skin disease caused by a fungus. It can affect any area of the body and commonly causes redness, itching, and scaling."
Allergy,"An allergy is an immune system response to a foreign substance not typically harmful to your body, triggering sneezing, hives, or watery eyes."
GERD,"Gastroesophageal reflux disease occurs when stomach acid repeatedly flows back into the tube connecting your mouth and stomach, causing heartburn and acid regurgitation."
Chronic cholestasis,"Chronic cholestasis is a condition where bile flow from the liver is reduced or blocked for an extended period, leading to jaundice and pruritus."
Drug Reaction,An adverse drug reaction is an unwanted or unexpected symptom that occurs following the intake of a prescription medication or over-the-counter drug.
Peptic ulcer diseae,Peptic ulcers are open sores that develop on the inside lining of your stomach and the upper portion of your small intestine.
AIDS,Acquired immunodeficiency syndrome is a chronic condition caused by the human immunodeficiency virus that severely impairs the immune system.
Diabetes ,Diabetes mellitus is a metabolic disease that causes high blood sugar levels due to inadequate insulin production or cellular insulin resistance.
Gastroenteritis,"Gastroenteritis is an inflammation of the lining of the intestines caused by a virus, bacteria, or parasites, commonly causing diarrhea and vomiting."
Bronchial Asthma,"Bronchial asthma is a chronic inflammatory disorder of the airways causing recurring episodes of wheezing, breathlessness, and coughing."
Hypertension ,"Hypertension is a chronic medical condition in which the blood pressure in the arteries is persistently elevated, increasing cardiovascular risk."
Migraine,"A migraine is a headache of varying intensity, often accompanied by nausea, sensitivity to light and sound, and visual aura."
Cervical spondylosis,"Cervical spondylosis is an age-related wear-and-tear of the spinal disks in your neck that can cause neck stiffness, pain, and numbness."
Paralysis (brain hemorrhage),Paralysis following a cerebral hemorrhage occurs when bleeding within the brain tissue disrupts motor control signals to one side of the body.
Jaundice,"Jaundice is a yellow discoloration of the skin, mucous membranes, and sclera caused by elevated levels of bilirubin in the blood."
Malaria,Malaria is a life-threatening disease caused by Plasmodium parasites that are transmitted to people through the bites of infected female Anopheles mosquitoes.
Chicken pox,"Chickenpox is a highly contagious viral infection caused by the varicella-zoster virus, characterized by itchy blisters and fever."
Dengue,"Dengue is a mosquito-borne viral infection causing a severe flu-like illness, high fever, retro-orbital headache, joint pain, and characteristic rash."
Typhoid,"Typhoid fever is a life-threatening bacterial infection caused by Salmonella Typhi, presenting with prolonged fever, fatigue, headache, and abdominal pain."
hepatitis A,"Hepatitis A is an acute infectious disease of the liver caused by the hepatitis A virus, typically spread through contaminated food or water."
Hepatitis B,Hepatitis B is a serious liver infection caused by the hepatitis B virus that can become chronic and lead to cirrhosis or liver cancer.
Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation, often leading to significant long-term liver damage if untreated."
Hepatitis D,"Hepatitis D is a liver disease caused by the hepatitis D virus, which only occurs in individuals who are already infected with hepatitis B."
Hepatitis E,"Hepatitis E is a liver disease caused by the hepatitis E virus, mainly transmitted through contaminated drinking water."
Alcoholic hepatitis,Alcoholic hepatitis is severe inflammation of the liver caused by long-term excessive alcohol consumption.
Tuberculosis,Tuberculosis is an infectious disease caused by Mycobacterium tuberculosis bacteria that primarily affects the lungs and spreads through respiratory droplets.
Common Cold,"The common cold is a viral infectious disease of the upper respiratory tract that primarily affects the nose, throat, and sinuses."
Pneumonia,"Pneumonia is an inflammatory condition of the lung affecting primarily the microscopic air sacs known as alveoli, often caused by bacterial or viral infection."
Dimorphic hemmorhoids(piles),"Hemorrhoids are swollen veins in your anus and lower rectum, which can cause pain, itching, and rectal bleeding during bowel movements."
Heart attack,"A myocardial infarction (heart attack) occurs when blood flow decreases or stops to a part of the heart, causing damage to the heart muscle."
Varicose veins,"Varicose veins are twisted, enlarged veins, most commonly appearing in the legs and feet due to weakened vein valves."
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormone, leading to fatigue, weight gain, and cold intolerance."
Hyperthyroidism,"Hyperthyroidism occurs when the thyroid gland produces too much thyroxine hormone, causing rapid weight loss, heat intolerance, and rapid heart rate."
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood glucose levels, leading to shakiness, sweating, confusion, and dizziness."
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, characterized by the breakdown of joint cartilage and underlying bone."
Arthritis,"Arthritis is the swelling and tenderness of one or more joints, causing joint pain, stiffness, and restricted mobility."
(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is a disorder arising from the inner ear characterized by brief episodes of spinning sensations triggered by head movement.
Acne,"Acne vulgaris is a long-term skin condition that occurs when hair follicles become clogged with dead skin cells and oil, producing pimples and blackheads."
Urinary tract infection,"A urinary tract infection is an infection in any part of the urinary system, including kidneys, ureters, bladder, and urethra."
Psoriasis,"Psoriasis is an autoimmune skin disease that causes cells to build up rapidly on the skin surface, forming itchy, silver-scaled patches."
Impetigo,"Impetigo is a highly contagious bacterial skin infection that causes red sores that can break open, ooze fluid, and develop a yellow-brown crust."
COVID-19,"COVID-19 is a contagious respiratory illness caused by the SARS-CoV-2 coronavirus, leading to fever, dry cough, dyspnea, fatigue, and loss of taste or smell."
Appendicitis,"Appendicitis is acute inflammation of the vermiform appendix, presenting with sudden right lower quadrant abdominal pain, nausea, vomiting, and fever."
Kidney Stones,"Kidney stones are hard crystalline mineral deposits formed inside the renal pelvis, causing severe flank pain, hematuria, and dysuria."
Anemia,"Anemia is a hematological disorder marked by a deficiency of red blood cells or hemoglobin, causing chronic fatigue, dizziness, and pallor."
Influenza (Flu),"Influenza is a viral infection of the respiratory tract characterized by acute onset of high fever, myalgia, headache, and severe malaise."
Gallstones,Gallstones are hardened deposits of digestive fluid in the gallbladder that block bile ducts and trigger severe right upper quadrant abdominal pain.
Sinusitis,"Sinusitis is inflammation of the paranasal mucosal lining causing facial congestion, headache, sinus pressure, and purulent nasal discharge."
Tonsillitis,"Tonsillitis is inflammation of the pharyngeal tonsils usually caused by viral or streptococcal infection, resulting in odynophagia and fever."
Acute Pancreatitis,"Acute pancreatitis is sudden inflammation of the pancreas marked by severe epigastric pain radiating to the back, nausea, and enzyme elevation."
Eczema,"Eczema is a chronic inflammatory skin disease producing dry, erythematous, pruritic, and scaly patches across various body regions."
Sciatica,"Sciatica is nerve compression or irritation of the sciatic nerve root, causing sharp shooting pain radiating down the lower limb."
Gout,"Gout is a painful metabolic arthritis caused by monosodium urate crystal deposition in joints, causing sudden joint redness and swelling."
Chronic Kidney Disease,"Chronic Kidney Disease is progressive irreversible deterioration of renal function over months or years, leading to fluid overload and uremia."
Non-Alcoholic Fatty Liver Disease,"NAFLD is hepatic steatosis not caused by excessive alcohol consumption, strongly linked to central obesity and insulin resistance."
Parkinson's Disease,"Parkinson's disease is a neurodegenerative movement disorder marked by resting tremor, bradykinesia, muscular rigidity, and gait instability."
Meningitis,"Meningitis is an emergency inflammatory infection of the leptomeninges surrounding the brain and spinal cord, presenting with nuchal rigidity and fever."
Shingles,"Shingles is a localized reactivation of latent varicella-zoster virus in a nerve ganglion, producing a painful dermatomal vesicular eruption."
Conjunctivitis,"Conjunctivitis is inflammation of the conjunctival membrane of the eye, presenting with ocular hyperopia, tearing, and itching."
COPD,"COPD is a progressive pulmonary condition causing chronic airflow limitation, persistent cough, dyspnea, and sputum production."
Fibromyalgia,"Fibromyalgia is a chronic pain disorder characterized by widespread musculoskeletal aching, fatigue, sleep disturbance, and cognitive dysfunction."
Otitis Media,"Otitis media is inflammation of the middle ear cleft, presenting with otalgia, fever, conductive hearing impairment, and irritability."
Pulmonary Embolism,"Pulmonary embolism is an acute occlusion of the pulmonary arterial bed by a thrombus, causing sudden dyspnea, pleuritic chest pain, and tachycardia."
